drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
amphotericin B,DB00681,"Leishmaniasis, Visceral",C0023290,,Approved,,
norfloxacin,DB01059,Pneumonia due to Klebsiella pneumoniae,C0519030,,Approved,,
imeglimin,DB12509,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
carbidopa,DB00190,Parkinsonian Disorders,C0242422,,Approved,,
udenafil,DB06267,Erectile dysfunction,C0242350,,Approved,,
fusidic acid,DB02703,Relapsing Fever,C0035021,,Approved,,
metharbital,DB00463,Sleeplessness,C0917801,,Approved,,
insulin lispro,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
phenylpropanolamine,DB00397,Common Cold,C0009443,,Approved,,
nelarabine,DB01280,Precursor T-cell lymphoblastic lymphoma,C1292758,,Approved,,
ceftazidime,DB00438,Staphylococcal Pneumonia,C0032308,,Approved,,
prednicarbate,DB00860,Contact Dermatitis,C0011616,,Approved,,
naproxen,DB00788,Myalgia,C0231528,,Approved,,
mannitol,DB00742,Edema,C0013604,,Approved,,
hydrocortisone succinate,DB14545,Pemphigus,C0030807,,Approved,,
chloroquine,DB00608,Rheumatoid Arthritis,C0003873,,Approved,,
alclometasone dipropionate,DB00240,Chronic small plaque psoriasis,C0406317,,Approved,,
amphotericin B,DB00681,Abdominal Infection,C1112209,,Approved,,
cortisone acetate,DB01380,Tinea cruris,C1384589,,Approved,,
hydrocortisone succinate,DB14545,Psoriasis,C0033860,,Approved,,
fusidic acid,DB02703,Rosacea,C0035854,,Approved,,
calcium glycerylphosphate,DB11264,Hypocalcemia,C0020598,,Approved,,
hydrocortisone,DB00741,Chronic ulcerative proctitis,C2937222,,Approved,,
tenofovir,DB14126,"Hepatitis B, Chronic",C0524909,,Approved,,
sulfogaiacol,DB13735,Rhinitis,C0035455,,Approved,,
ceftriaxone,DB01212,Staphylococcal meningitis,C0154640,,Approved,,
ampicillin,DB00415,Pneumococcal pharyngitis,C0275761,,Approved,,
cortisone acetate,DB01380,Otitis Externa,C0029878,,Approved,,
testosterone cypionate,DB13943,Delayed Puberty,C0034012,,Approved,,
clotrimazole,DB00257,Oral candidiasis,C0006849,,Approved,,
fluphenazine enanthate,DB00623,Schizophrenia,C0036341,,Approved,,
norfloxacin,DB01059,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
hydrocortisone acetate,DB14539,"Dermatitis, Atopic",C0011615,,Approved,,
diflorasone diacetate,DB00223,Pruritus of genital organs,C0033777,,Approved,,
dirithromycin,DB00954,Streptococcal tonsillitis,C0275804,,Approved,,
loteprednol etabonate,DB14596,Herpes zoster keratoconjunctivitis,C0153027,,Approved,,
ixekizumab,DB11569,Chronic small plaque psoriasis,C0406317,,Approved,,
cefamandole,DB01326,Arthropathy associated with infection,C0157749,,Approved,,
bacitracin,DB00626,Blepharoconjunctivitis,C0005743,,Approved,,
moxonidine,DB09242,Essential Hypertension,C0085580,,Approved,,
acetylcarnitine,DB00583,Senile dementia,C0011268,,Approved,,
itraconazole,DB01167,onychomycosis of fingernail,C1274469,,Approved,,
midostaurin,DB06595,"Leukemia, Myelocytic, Acute",C0023467,,Approved,,
aminoglutethimide,DB00357,Secondary malignant neoplasm of female breast,C0346993,,Approved,,
ceftriaxone,DB01212,Acute gonococcal endometritis,C0153196,,Approved,,
allopurinol,DB00437,Uric acid renal calculus,C0558595,,Approved,,
prednisolone,DB00860,Infective blepharitis,C0729587,,Approved,,
zanubrutinib,DB15035,Waldenstrom Macroglobulinemia,C0024419,,Approved,,
metronidazole,DB15759,Brain Abscess,C0006105,,Approved,,
dexbrompheniramine,DB00405,"Rhinitis, Vasomotor",C0035460,,Approved,,
amikacin,DB00479,Proteus pneumonia,C1260917,,Approved,,
phenacemide,DB01121,Epilepsy,C0014544,,Approved,,
amiloride,DB00594,Hypertensive disease,C0020538,,Approved,,
apremilast,DB05676,Behçet's disease affecting oral mucosa,C1321482,,Approved,,
magnesium sulfate,DB00653,Eclampsia in pregnancy,C0156677,,Approved,,
dacarbazine,DB00851,Hodgkin Disease,C0019829,,Approved,,
doxorubicin,DB00997,Diffuse Large B-Cell Lymphoma,C0079744,,Approved,,
codeine,DB00318,Sore Throat,C0242429,,Approved,,
hydroxycarbamide,DB01005,"Anemia, Sickle Cell",C0002895,,Approved,,
promethazine,DB01069,Allergic Conjunctivitis,C0009766,,Approved,,
hydrocortisone acetate,DB00741,Exanthema,C0015230,,Approved,,
ticagrelor,DB08816,Acute Coronary Syndrome,C0948089,,Approved,,
iron,DB01592,Anemia of prematurity,C0158996,,Approved,,
fusidic acid,DB02703,Gonorrhea of pharynx,C0149966,,Approved,,
hydrocortisone acetate,DB14539,Transplanted organ rejection,C0345468,,Approved,,
levofloxacin,DB01137,Acute exacerbation of chronic bronchitis,C0856695,,Approved,,
docusate sodium,DB11089,Breastfeeding (mother),C1623040,,Approved,,
ceftazidime,DB00438,Endometritis,C0014179,,Approved,,
cyclizine,DB01176,Coughing,C0010200,,Approved,,
sulfafurazole,DB00263,"Malaria, Falciparum",C0024535,,Approved,,
pegademase,DB00061,Adenosine deaminase deficiency,C0268124,,Approved,,
promazine,DB00420,Sneezing,C0037383,,Approved,,
trovafloxacin,DB00685,Infection due to Pseudomonas aeruginosa,C0276075,,Approved,,
sirolimus,DB00877,Renal Cell Carcinoma,C0007134,,Approved,,
laninamivir octanoate hydrate,DB12791,Influenza,C0021400,,Approved,,
doxylamine,DB00366,Pruritus,C0033774,,Approved,,
phenylephrine,DB00388,Coughing,C0010200,,Approved,,
prednisolone,DB00860,Bursitis,C0006444,,Approved,,
clindamycin,DB01190,Aspiration Pneumonia,C0032290,,Approved,,
progesterone,DB00396,"Osteoporosis, Postmenopausal",C0029458,,Approved,,
hydrocortisone acetate,DB14539,Rheumatic Heart Disease,C0035439,,Approved,,
vedolizumab,DB09033,Ulcerative Colitis,C0009324,,Approved,,
tetracycline,DB09550,Pharyngitis,C0031350,,Approved,,
cortisone acetate,DB01380,Tinea Pedis,C0040259,,Approved,,
dexrabeprazole,DB13762,Erosive esophagitis,C0267055,,Approved,,
dextropropoxyphene,DB00647,Pain,C0030193,,Approved,,
phenytoin,DB00252,Epilepsy,C0014544,,Approved,,
cefuroxime,DB01112,Escherichia coli Infections,C0014836,,Approved,,
ciclopirox,DB01188,Tinea corporis (disorder),C0040252,,Approved,,
epicriptine,DB11275,Alzheimer's Disease,C0002395,,Approved,,
landiolol,DB12212,Atrial Flutter,C0004239,,Approved,,
vinblastine,DB00570,Letterer-Siwe Disease,C0023381,,Approved,,
calcium polystyrene sulfonate,DB01344,Hyperkalemia,C0020461,,Approved,,
amphotericin B,DB00681,Gonorrhea of rectum,C0275665,,Approved,,
benzylpenicillin,DB01053,Streptococcal meningitis,C0154639,,Approved,,
ascorbic acid,DB14482,Ascorbic Acid Deficiency,C0003969,,Approved,,
norfloxacin,DB01059,Acute gonococcal endometritis,C0153196,,Approved,,
netupitant,DB09048,Chemotherapy-induced nausea and vomiting,C0401160,,Approved,,
clofedanol,DB04837,Allergic rhinitis (disorder),C2607914,,Approved,,
cefotaxime,DB00493,Infection of bone,C2242472,,Approved,,
ezetimibe,DB00973,"Hyperlipidemia, Familial Combined",C0020474,,Approved,,
isoxsuprine,DB08941,Raynaud Disease,C0034734,,Approved,,
amoxicillin,DB01060,Staphylococcal pharyngitis,C0275794,,Approved,,
eftrenonacog alfa,DB11608,Hemophilia B,C0008533,,Approved,,
hydrocortisone acetate,DB00741,Angioedema,C0002994,,Approved,,
meropenem,DB00760,Infection due to Pseudomonas aeruginosa,C0276075,,Approved,,
ampicillin,DB00415,Haemophilus influenzae pneumonia,C0276026,,Approved,,
halazepam,DB00801,Anxiety,C0003467,,Approved,,
levofloxacin,DB01137,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
triamcinolone,DB00620,Sarcoidosis,C0036202,,Approved,,
chloramphenicol,DB00446,Boutonneuse Fever,C0006060,,Approved,,
fesoterodine,DB06702,Bladder muscle dysfunction - overactive,C0403643,,Approved,,
mometasone furoate,DB14512,Intrinsic asthma,C0155880,,Approved,,
sodium aurothiomalate,DB09276,Juvenile arthritis,C3495559,,Approved,,
physostigmine,DB00981,"Glaucoma, Open-Angle",C0017612,,Approved,,
terbutaline,DB00871,Dry Eye Syndromes,C0013238,,Approved,,
golimumab,DB06674,Ankylosing spondylitis,C0038013,,Approved,,
ketanserin,DB12465,Hypertensive disease,C0020538,,Approved,,
olopatadine,DB00768,Allergic Conjunctivitis,C0009766,,Approved,,
pembrolizumab,DB09037,Classical Hodgkin's Lymphoma,C1333064,,Approved,,
phenylpropanolamine,DB00397,Sinus headache,C0037195,,Approved,,
fluocinolone acetonide,DB00591,Exanthema,C0015230,,Approved,,
piperacillin,DB00319,Staphylococcus aureus infection,C1318973,,Approved,,
oxaceprol,DB13363,Degenerative polyarthritis,C0029408,,Approved,,
paracetamol,DB00316,Common Cold,C0009443,,Approved,,
pheniramine,DB01620,Rhinorrhea,C1260880,,Approved,,
afatinib,DB08916,Epidermal growth factor receptor positive non-small cell lung cancer,C1960925,,Approved,,
potassium chloride,DB00761,Hypokalemia,C0020621,,Approved,,
ampicillin,DB00415,Acute gonococcal urethritis,C0275652,,Approved,,
rosuvastatin,DB01098,Hypertriglyceridemia,C0020557,,Approved,,
cilastatin,DB01597,Infection due to enterococcus,C1320183,,Approved,,
ammonium lactate,DB06768,"Dermatitis, Atopic",C0011615,,Approved,,
triamcinolone acetonide,DB00620,Ankylosing spondylitis,C0038013,,Approved,,
metaxalone,DB00660,Muscle Spasticity,C0026838,,Approved,,
poractant alfa,DB09113,"Respiratory Distress Syndrome, Newborn",C0035220,,Approved,,
perazine,DB12710,Vomiting,C0042963,,Approved,,
candesartan cilexetil,DB00796,Chronic heart failure,C0264716,,Approved,,
midostaurin,DB06595,"Leukemia, Mast-Cell",C0023461,,Approved,,
avacopan,DB15011,Granulomatosis with polyangiitis,C3495801,,Approved,,
cortisone acetate,DB01380,Synovitis,C0039103,,Approved,,
dexchlorpheniramine,DB13679,Allergic rhinitis (disorder),C2607914,,Approved,,
doxorubicin,DB00997,Multiple Myeloma,C0026764,,Approved,,
fluticasone propionate,DB13867,Pulmonary Emphysema,C0034067,,Approved,,
fluorometholone acetate,DB00324,Herpes zoster keratitis,C1275687,,Approved,,
loteprednol etabonate,DB14596,Corneal Abrasions,C0010032,,Approved,,
fluticasone furoate,DB08906,"Bronchitis, Chronic",C0008677,,Approved,,
tobramycin,DB00684,Dacryocystitis,C0010930,,Approved,,
fluocinonide,DB12553,Inflammatory dermatosis,C3875321,,Approved,,
hydrocortisone acetate,DB00741,"Arthritis, Psoriatic",C0003872,,Approved,,
cefuroxime axetil,DB01112,Acute gonococcal endometritis,C0153196,,Approved,,
ceftriaxone,DB01212,"Arthritis, Bacterial",C1692886,,Approved,,
magnesium salicylate,DB01397,Fever,C0015967,,Approved,,
lithium carbonate,DB14509,Juvenile arthritis,C3495559,,Approved,,
benzylpenicillin,DB01053,Anthrax disease,C0003175,,Approved,,
enoxacin,DB00467,Urinary tract infection,C0042029,,Approved,,
norfloxacin,DB01059,Enteric campylobacteriosis,C0275982,,Approved,,
metronidazole,DB15759,Abdominal Abscess,C0243001,,Approved,,
ulobetasol propionate,DB00596,Psoriasis of scalp,C0406326,,Approved,,
brigatinib,DB12267,Non-Small Cell Lung Carcinoma,C0007131,,Approved,,
prednicarbate,DB01130,Lichen Simplex Chronicus,C0149922,,Approved,,
melevodopa,DB13313,Parkinsonian Disorders,C0242422,,Approved,,
cefapirin,DB01139,Escherichia coli Infections,C0014836,,Approved,,
benzylpenicillin,DB01053,Streptococcal tonsillitis,C0275804,,Approved,,
tobramycin,DB00684,Hospital acquired pneumonia,C0949083,,Approved,,
oxymetholone,DB06412,Hypoplastic anemia,C0178416,,Approved,,
folic acid,DB00158,Vitamin Deficiency,C1510471,,Approved,,
hydrocortisone acetate,DB14539,Serum Sickness,C0036830,,Approved,,
tulobuterol,DB12248,Pulmonary Emphysema,C0034067,,Approved,,
chlordiazepoxide,DB00475,Anxiety,C0003467,,Approved,,
trimethoprim,DB00440,Shigella Infections,C0013371,,Approved,,
methscopolamine,DB11315,Common Cold,C0009443,,Approved,,
ticarcillin,DB01607,Aspiration Pneumonia,C0032290,,Approved,,
flavoxate,DB01148,Nocturia,C0028734,,Approved,,
meclocycline,DB13092,Acne Vulgaris,C0001144,,Approved,,
thiamine,DB00152,"Anemia, Pernicious",C0002892,,Approved,,
vildagliptin,DB04876,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
tetracycline,DB00759,Rickettsialpox,C0035597,,Approved,,
ixazomib,DB09570,Multiple Myeloma,C0026764,,Approved,,
phentolamine,DB00692,Cerebral Ischemia,C0917798,,Approved,,
mefenamic acid,DB00784,Pain,C0030193,,Approved,,
demeclocycline,DB00618,Relapsing Fever,C0035021,,Approved,,
tocilizumab,DB06273,Cytokine Release Syndrome,C0948245,,Approved,,
gabapentin,DB00996,Postherpetic neuralgia,C0032768,,Approved,,
dihydrotachysterol,DB01070,Hypoparathyroidism,C0020626,,Approved,,
cefapirin,DB01139,Staphylococcal Pneumonia,C0032308,,Approved,,
betamethasone acetate,DB00443,Post traumatic osteoarthritis,C2894027,,Approved,,
gliquidone,DB01251,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
dicoumarol,DB00266,Thromboembolism,C0040038,,Approved,,
clocortolone pivalate,DB00838,Pruritus Ani,C0033775,,Approved,,
somatropin,DB00052,Prader-Willi Syndrome,C0032897,,Approved,,
temozolomide,DB00853,Ewings sarcoma,C0553580,,Approved,,
cabozantinib,DB08875,Liver carcinoma,C2239176,,Approved,,
propylthiouracil,DB00550,Hyperthyroidism,C0020550,,Approved,,
daptomycin,DB00080,Methicillin resistant Staphylococcus aureus skin infection,C5567802,,Approved,,
biperiden,DB00810,Extrapyramidal Disorders,C0015371,,Approved,,
pheniramine,DB01620,Redness of eye,C0235267,,Approved,,
onasemnogene abeparvovec,DB15528,Spinal Muscular Atrophy,C0026847,,Approved,,
macrogol,DB11077,Incomplete passage of stool,C0426639,,Approved,,
elagolix,DB11979,Endometriosis,C0014175,,Approved,,
alimemazine,DB01246,Allergic Conjunctivitis,C0009766,,Approved,,
triamcinolone diacetate,DB00620,Adrenogenital disorder,C0701163,,Approved,,
ampicillin,DB00415,"Meningitis, Bacterial",C0085437,,Approved,,
guaifenesin,DB00874,Common Cold,C0009443,,Approved,,
pyrethrins,DB11087,Pediculus capitis infestation,C0030757,,Approved,,
sertraline,DB01104,Post-Traumatic Stress Disorder,C0038436,,Approved,,
interferon alfa-2b,DB15131,"Hepatitis B, Chronic",C0524909,,Approved,,
dextromethorphan,DB00514,Allergic rhinitis (disorder),C2607914,,Approved,,
cycloserine,DB00260,Acute tuberculosis,C0275959,,Approved,,
trimethoprim,DB00440,Blepharoconjunctivitis,C0005743,,Approved,,
prednisolone,DB00860,Dacryocystitis,C0010930,,Approved,,
tinidazole,DB00911,Giardiasis,C0017536,,Approved,,
acebutolol,DB01193,Hypertensive disease,C0020538,,Approved,,
magnesium silicate,DB09281,Gastroesophageal reflux disease,C0017168,,Approved,,
methyltestosterone,DB06710,Deficiency of testosterone biosynthesis,C0342527,,Approved,,
hydrocortisone succinate,DB00741,Post traumatic osteoarthritis,C2894027,,Approved,,
tridihexethyl,DB00505,Gastric ulcer,C0038358,,Approved,,
ofloxacin,DB01165,Cystitis,C0010692,,Approved,,
lonoctocog alfa,DB13998,Hemophilia A,C0019069,,Approved,,
oxymetazoline,DB00935,Persistent erythema of skin,C1720538,,Approved,,
biperiden,DB00810,"Parkinson Disease, Postencephalitic",C0030568,,Approved,,
fusidic acid,DB02703,Rickettsia Infections,C0035585,,Approved,,
fusidic acid,DB02703,Yaws,C0043388,,Approved,,
macrogol,DB11161,Incomplete passage of stool,C0426639,,Approved,,
mitapivat,DB16236,Deficiency of pyruvate kinase,C0340968,,Approved,,
cefuroxime axetil,DB01112,Lower respiratory tract infection,C0149725,,Approved,,
cefuroxime axetil,DB01112,Staphylococcus aureus infection,C1318973,,Approved,,
cefixime,DB00671,Gonorrhea,C0018081,,Approved,,
hydrocortisone,DB00741,Aphthous Stomatitis,C0038363,,Approved,,
cefpodoxime proxetil,DB01416,Acute bacterial sinusitis,C0275556,,Approved,,
trastuzumab,DB00072,Malignant neoplasm of salivary gland,C0220636,,Approved,,
dexchlorpheniramine,DB09555,Pruritus,C0033774,,Approved,,
flumetasone,DB00663,Seborrheic dermatitis,C0036508,,Approved,,
glycerol,DB09462,Constipation,C0009806,,Approved,,
relebactam,DB12377,Intestinal infection due to E. coli,C0341558,,Approved,,
ofloxacin,DB01165,Gonorrhea,C0018081,,Approved,,
alteplase,DB00009,Ischemic stroke,C0948008,,Approved,,
fluorometholone,DB00324,Herpes zoster keratitis,C1275687,,Approved,,
tedizolid phosphate,DB14569,Staphylococcal Skin Infections,C0038166,,Approved,,
uracil mustard,DB00791,Chronic Lymphocytic Leukemia,C0023434,,Approved,,
fluorometholone,DB00324,Iritis,C0022081,,Approved,,
susoctocog alfa,DB11606,"Factor 8 deficiency, acquired",C0272325,,Approved,,
ofloxacin,DB01165,Acute gonococcal urethritis,C0275652,,Approved,,
ciprofloxacin,DB00537,Acute bacterial bronchitis,C0339933,,Approved,,
metronidazole,DB00916,Acute amebiasis,C0152499,,Approved,,
moxifloxacin,DB00218,Peritonitis,C0031154,,Approved,,
thiotepa,DB04572,Hodgkin Disease,C0019829,,Approved,,
indomethacin,DB00328,Gout,C0018099,,Approved,,
aprobarbital,DB01352,Severe anxiety (panic),C0231403,,Approved,,
diazoxide,DB01119,Hypertensive urgency,C0745138,,Approved,,
cefonicid,DB01328,Staphylococcus aureus infection,C1318973,,Approved,,
panitumumab,DB01269,Metastatic malignant neoplasm to colon,C0346974,,Approved,,
fluocinonide,DB12553,Chronic small plaque psoriasis,C0406317,,Approved,,
triamcinolone,DB00620,Serum Sickness,C0036830,,Approved,,
pembrolizumab,DB09037,Metastatic Renal Cell Cancer,C0278678,,Approved,,
lopinavir,DB01601,HIV Infections,C0019693,,Approved,,
cefamandole,DB01326,Escherichia coli septicemia,C0276088,,Approved,,
rivaroxaban,DB06228,Deep Vein Thrombosis,C0149871,,Approved,,
tinidazole,DB00911,Trichomonas Infections,C0040921,,Approved,,
clemastine,DB00283,Sneezing,C0037383,,Approved,,
cefamandole,DB01326,Streptococcal pneumonia,C0155862,,Approved,,
phenobarbital,DB01174,Cluster Headache,C0009088,,Approved,,
atomoxetine,DB00289,Attention deficit hyperactivity disorder,C1263846,,Approved,,
norfloxacin,DB01059,Bronchitis,C0006277,,Approved,,
hydrocortisone,DB00741,Rheumatoid Arthritis,C0003873,,Approved,,
gentamicin,DB00798,Meibomianitis,C0549398,,Approved,,
dexamethasone,DB01234,Rheumatoid Arthritis,C0003873,,Approved,,
tetracycline,DB00759,Acne Vulgaris,C0001144,,Approved,,
fusidic acid,DB02703,Infection due to Pseudomonas aeruginosa,C0276075,,Approved,,
pheniramine,DB01620,Hay fever,C0018621,,Approved,,
levobunolol,DB01210,"Glaucoma, Open-Angle",C0017612,,Approved,,
algeldrate,DB06723,Gastric ulcer,C0038358,,Approved,,
adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,,Approved,,
benzphetamine,DB00865,Obesity,C0028754,,Approved,,
mibefradil,DB01388,Angina Pectoris,C0002962,,Approved,,
fluocinonide,DB12553,Exanthema,C0015230,,Approved,,
doxorubicin,DB00997,Hodgkin Disease,C0019829,,Approved,,
ibrutinib,DB09053,Chronic Lymphocytic Leukemia,C0023434,,Approved,,
ergocalciferol,DB00153,Osteoporosis,C0029456,,Approved,,
esmolol,DB00187,Supraventricular tachycardia,C0039240,,Approved,,
mezlocillin,DB00948,Gonorrhea,C0018081,,Approved,,
retapamulin,DB01256,Impetigo,C0021099,,Approved,,
ceftazidime,DB00438,Serratia sepsis,C0152973,,Approved,,
fludroxycortide,DB00846,Lichen Simplex Chronicus,C0149922,,Approved,,
dexamethasone,DB01234,Multiple Sclerosis,C0026769,,Approved,,
telithromycin,DB00976,Haemophilus influenzae pneumonia,C0276026,,Approved,,
bedaquiline,DB08903,"Tuberculosis, Drug-Resistant",C0206525,,Approved,,
tulobuterol,DB12248,Asthma,C0004096,,Approved,,
tetracycline,DB09550,Chlamydia trachomatis infection of genital structure,C1997322,,Approved,,
sofalcone,DB05197,Gastric ulcer,C0038358,,Approved,,
ivermectin,DB00602,Strongyloidiasis,C0038463,,Approved,,
kanamycin,DB01172,Meningitis,C0025289,,Approved,,
umifenovir,DB13609,Influenza,C0021400,,Approved,,
ferric derisomaltose,DB15617,Iron deficiency anemia,C0162316,,Approved,,
levomenthol,DB00825,Scurfiness of scalp,C0423775,,Approved,,
hydroxyamfetamine,DB09352,Mydriasis,C0026961,,Approved,,
triamcinolone acetonide,DB00620,Crohn Disease,C0010346,,Approved,,
epitizide,DB13989,Hypertensive disease,C0020538,,Approved,,
olanzapine,DB00334,"Depression, Bipolar",C0005587,,Approved,,
cefoxitin,DB01331,Staphylococcal Pneumonia,C0032308,,Approved,,
dropropizine,DB13785,Dry cough,C0850149,,Approved,,
dexamethasone,DB01234,Multiple Myeloma,C0026764,,Approved,,
cefotetan,DB01330,Endometritis,C0014179,,Approved,,
mirogabalin,DB11825,Diabetic peripheral neuropathy,C0740447,,Approved,,
hydrocortisone,DB00741,Adrenogenital disorder,C0701163,,Approved,,
oseltamivir,DB02600,Influenza,C0021400,,Approved,,
azithromycin,DB00207,Pneumonia due to Staphylococcus aureus,C2349530,,Approved,,
triamcinolone,DB00620,Dermatitis Herpetiformis,C0011608,,Approved,,
captopril,DB01197,Hypertensive disease,C0020538,,Approved,,
cilastatin,DB01597,Infection of bone,C2242472,,Approved,,
droxidopa,DB06262,"Hypotension, Orthostatic",C0020651,,Approved,,
thiopental,DB00599,Pseudotumor Cerebri,C0033845,,Approved,,
doxycycline,DB00254,Acute gonococcal urethritis,C0275652,,Approved,,
fluticasone propionate,DB00588,"Lymphoma, T-Cell, Cutaneous",C0079773,,Approved,,
fluoxymesterone,DB01185,Generalized Myotonia of Thomsen,C2936781,,Approved,,
pexidartinib,DB12978,Fibrous histiocytoma of tendon sheath,C1318543,,Approved,,
enfuvirtide,DB00109,HIV Infections,C0019693,,Approved,,
aztreonam,DB00355,Peritonitis,C0031154,,Approved,,
piperacillin,DB00319,Sepsis caused by Gram negative bacteria,C3163829,,Approved,,
benzylpenicillin,DB01053,Infection due to Erysipelothrix rhusiopathiae (disorder),C1276801,,Approved,,
mecasermin rinfabate,DB14751,Laron Syndrome,C0271568,,Approved,,
ofatumumab,DB06650,Chronic Lymphocytic Leukemia,C0023434,,Approved,,
terbutaline,DB00871,Asthma attack,C0347950,,Approved,,
testosterone enantate,DB00624,Deficiency of testosterone biosynthesis,C0342527,,Approved,,
methdilazine,DB00902,Rhinorrhea,C1260880,,Approved,,
ansuvimab,DB16385,"Hemorrhagic Fever, Ebola",C0282687,,Approved,,
cefdinir,DB00535,Haemophilus influenzae pneumonia,C0276026,,Approved,,
isavuconazonium,DB11633,Aspergillosis,C0004030,,Approved,,
pegaptanib,DB04895,Exudative age-related macular degeneration,C0271084,,Approved,,
triamcinolone,DB00620,"Lupus Erythematosus, Systemic",C0024141,,Approved,,
acetylsalicylic acid,DB00945,Degenerative polyarthritis,C0029408,,Approved,,
testosterone cypionate,DB00624,Klinefelter Syndrome,C0022735,,Approved,,
chlorpromazine,DB00477,Psychotic Disorders,C0033975,,Approved,,
procaine benzylpenicillin,DB01053,Scarlet Fever,C0036285,,Approved,,
dimenhydrinate,DB00985,Nausea,C0027497,,Approved,,
betamethasone acetate,DB00443,Pemphigus,C0030807,,Approved,,
inclisiran,DB14901,Familial hypercholesterolemia - heterozygous,C0342882,,Approved,,
alclometasone dipropionate,DB00240,Contact Dermatitis,C0011616,,Approved,,
oxytetracycline,DB00595,Acute gonococcal epididymo-orchitis,C0153193,,Approved,,
testosterone enantate,DB13944,Hormone receptor positive malignant neoplasm of breast,C1562029,,Approved,,
betamethasone dipropionate,DB00443,Exanthema,C0015230,,Approved,,
benzylpenicillin,DB01053,Tetanus,C0039614,,Approved,,
canakinumab,DB06168,Deficiency of mevalonate kinase,C0342731,,Approved,,
oxiconazole,DB00239,Tinea corporis (disorder),C0040252,,Approved,,
cefoxitin,DB01331,Arthropathy associated with infection,C0157749,,Approved,,
fondaparinux,DB00569,Pulmonary Thromboembolisms,C0524702,,Approved,,
estradiol,DB00783,Atrophy of vulva,C0156393,,Approved,,
cortisone acetate,DB01380,Nephrotic Syndrome,C0027726,,Approved,,
delapril,DB13312,Hypertensive disease,C0020538,,Approved,,
carmustine,DB00262,Diffuse Large B-Cell Lymphoma,C0079744,,Approved,,
diphenylpyraline,DB01146,Allergic rhinitis (disorder),C2607914,,Approved,,
famotidine,DB00927,Erosive esophagitis,C0267055,,Approved,,
norfloxacin,DB01059,Urinary tract infection caused by Klebsiella,C4076057,,Approved,,
reproterol,DB12846,Asthma,C0004096,,Approved,,
candesartan cilexetil,DB13919,Chronic heart failure,C0264716,,Approved,,
idarubicin,DB01177,"Leukemia, Myelocytic, Acute",C0023467,,Approved,,
benzathine benzylpenicillin,DB01053,Erysipelas,C0014733,,Approved,,
enarodustat,DB14985,Anemia of renal disease,C0472713,,Approved,,
cefpodoxime proxetil,DB01416,Haemophilus influenzae pneumonia,C0276026,,Approved,,
oxedrine,DB09203,Rhinorrhea,C1260880,,Approved,,
oxacillin,DB00713,Pharyngitis,C0031350,,Approved,,
levomilnacipran,DB08918,Major Depressive Disorder,C1269683,,Approved,,
desonide,DB01260,"Lymphoma, T-Cell, Cutaneous",C0079773,,Approved,,
sodium fluoride,DB09325,Vitamin Deficiency,C1510471,,Approved,,
betaine,DB06756,Bacterial urinary infection,C0729524,,Approved,,
tirofiban,DB00775,Acute Coronary Syndrome,C0948089,,Approved,,
cilastatin,DB01597,Female genital tract infection,C1263758,,Approved,,
benzoic acid,DB03793,Peyronie Disease,C0030848,,Approved,,
molsidomine,DB09282,Angina Pectoris,C0002962,,Approved,,
methylprednisolone,DB00959,Post traumatic osteoarthritis,C2894027,,Approved,,
pyrimethamine,DB00205,Malaria,C0024530,,Approved,,
tazemetostat,DB12887,"Sarcoma, Epithelioid",C0205944,,Approved,,
somatropin,DB00052,Pituitary dwarfism,C0013338,,Approved,,
norfloxacin,DB01059,Endomyometritis,C0269050,,Approved,,
hydrocortisone,DB00741,Corneal Abrasions,C0010032,,Approved,,
hydrocortisone succinate,DB14545,Acquired thrombocytopenia,C0154301,,Approved,,
naltrexone,DB00704,"Alcoholic Intoxication, Chronic",C0001973,,Approved,,
stiripentol,DB09118,Infantile Severe Myoclonic Epilepsy,C0751122,,Approved,,
benzonatate,DB00868,Coughing,C0010200,,Approved,,
valaciclovir,DB00577,Recurrent genital herpes simplex,C1274323,,Approved,,
acyclovir,DB00787,Herpes simplex infection of skin,C0349719,,Approved,,
dexrabeprazole,DB13762,Gastric ulcer,C0038358,,Approved,,
artesunate,DB09274,"Malaria, Vivax",C0024537,,Approved,,
hydrocortisone,DB00741,Itching of ear,C0849907,,Approved,,
mercaptopurine,DB01033,Acute lymphocytic leukemia,C0023449,,Approved,,
menatetrenone,DB12148,Hemorrhagic Disease of Newborn,C0019088,,Approved,,
ampicillin,DB00415,Bacterial Endocarditis,C0014121,,Approved,,
clobetasol propionate,DB11750,Scalp Dermatoses,C0036271,,Approved,,
metronidazole,DB15759,Female genital tract infection,C1263758,,Approved,,
alclometasone dipropionate,DB00240,Pruritus Ani,C0033775,,Approved,,
gatifloxacin,DB01044,Acute bacterial sinusitis,C0275556,,Approved,,
